Thomas Kraft (Fußballspieler),托馬斯·克拉夫特
Werner Kohlmeyer,维尔纳·科尔迈尔
Eberhard IV. (Württemberg),埃伯哈德四世·(符騰堡伯爵)
Ludwig III. (Niederbayern),路易三世·(巴伐利亞)
Dagmar Lurz,达格玛·卢尔茨
Jost Schömann-Finck,约斯特·舍曼-芬克
Alexandra Wenk,亚历山德拉·文克
Otto Geßler,奧托·格斯勒
Eberhard von Mackensen,埃伯哈德·馮·馬肯森
Richard Stribeck,理察·斯特里貝克
Marc Kühne (Bobfahrer),马克·屈内
Jan Frodeno,扬·弗勒德诺
Roland Koch,罗兰·科赫
Alice Sara Ott,爱丽丝·纱良·奥特
Wolfgang Wegener,沃夫岡·韋格納
Rolf Milser,罗尔夫·米尔泽
Wilhelm Keitel,威廉·凱特爾
Jürgen Habermas,于尔根·哈贝马斯
Hans Zimmer,漢斯·季默
Rudolf Goclenius der Ältere,鲁道夫·郭克兰纽
Wilhelm Gliese,威廉·格利澤
Konrad von Feuchtwangen,康拉德·馮·費希特旺根
Franz Reindl,弗朗茨·赖因德尔
Otto IV. (Bayern),奥托四世·(巴伐利亞)
Ludwig VII. (Bayern),路易七世·(巴伐利亞)
Heinrich von Lüttwitz,海因里希·冯·吕特维茨
Klaus-Dieter Petersen,克劳斯-迪特尔·彼得森
Karl Storch (Leichtathlet),卡尔·施托希
Kim Petras,金·彼特拉斯
Eberhard Diepgen,埃伯哈德·迪普根
Fritz Bayerlein (Generalleutnant),弗里茨·拜尔莱因
Ludger Beerbaum,卢德格尔·贝尔鲍姆
Franz Kaiser (Astronom),弗朗茲·凱撒
Shere Hite,雪儿·海特
Hans Brandner,汉斯·布兰德纳
Herbert Buhtz,赫伯特·布茨
Georg Lindemann,格奧爾格·林德曼
Judith Hermann,尤荻特·赫爾曼
"Wilhelm Adam (General, 1877)",威廉·亞當·(將軍)
Heinrich Lehmann-Willenbrock,海因里希·莱曼-维伦布罗克
Rolf Gölz,罗尔夫·格尔茨
Andreas Kuffner,安德烈亚斯·库夫纳
Frei Otto,弗萊·奧托
Eric Johannesen,埃里克·约翰内森
Christian Mayer (Physiker),克里斯蒂安·迈尔·(天文学家)
Eduard Heis,爱德华·海斯
Annegret Kroniger,安妮格雷特·克罗尼格
Charles Bukowski,查理·布考斯基
Stefan Hantel,斯特凡·漢泰
Wolfgang Clement,沃尔夫冈·克莱门特
Helene Mayer,海伦妮·迈尔
Tomasz Wylenzek,托马什·维伦热克
Peter Kretschmer (Kanute),彼得·克雷奇默
Friedrich Schulz (General),弗里德里希·舒尔茨·(将军)
Emil Krebs,夏禮輔
Kristof Wilke,克里斯托夫·维尔克
Hugo von Seeliger,胡戈·冯·泽利格
Hans Esser (Fechter),汉斯·埃塞尔
Bruno Apitz,布鲁诺·阿皮茨
Siegfried Lenz,西格弗里德·伦茨
Dietrich von Nieheim,狄德里希·冯·尼海姆
Ludwig Bemelmans,路德威·白蒙
Egbert Hirschfelder,埃格伯特·希施费尔德
Dieter Rams,迪特·拉姆斯
Louis Schmeisser,路易斯·施邁瑟
Richard Courant,理查德·柯朗
Albert von Rickmersdorf,薩克森的阿爾伯特·(哲學家)
Tony Martin (Radsportler),托尼·马丁·(自行车运动员)
Winfried Kretschmann,溫弗里德·克瑞特許曼
Carl Philipp Emanuel Bach,卡尔·菲利普·埃马努埃尔·巴赫
Heinrich I. (Braunschweig-Lüneburg),海因里希一世·(布倫瑞克-呂訥堡)
Johann Bayer (Astronom),約翰·拜耳
Christian IV. (Pfalz-Zweibrücken),克里斯蒂安四世·(普法爾茨-茨魏布呂肯)
Thomas Gerull,托马斯·格鲁尔
Sebastian Schwarz (Volleyballspieler),塞巴斯蒂安·施瓦茨
Albrecht II. Alcibiades,阿爾布雷希特·阿爾西比亞德斯
Olaf Scholz,奥拉夫·朔尔茨
Hermann Oberth,赫尔曼·奥伯特
Romy Schneider,罗密·施奈德
Leonie Tepe,莱奥妮·特佩
Heinz Hopf,海因茨·霍普夫
Magdalena Neuner,玛格达莱娜·诺伊纳
Michael Uhrmann,米夏埃尔·乌尔曼
Karl von Bülow,卡爾·馮·比洛
Wilhelm Ackermann (Mathematiker),威廉·阿克曼
Max Hoffmann,馬克斯·霍夫曼
Peter Ramsauer,彼得·拉姆绍尔
Ludwig III. (Pfalz),路德維希三世·(普法爾茨)
Friedrich Christiansen,弗里德里希·克里斯蒂安森
Friedrich II. (Braunschweig-Lüneburg),腓特烈二世·(布倫瑞克-呂訥堡)
Daniel Domscheit-Berg,丹尼尔·多姆沙伊特-伯格
Karl Dönitz,卡尔·邓尼茨
Kurt Helbig (Gewichtheber),库尔特·黑尔比希
Frank Höfle,弗兰克·赫夫勒
Herbert Kemmer,赫伯特·克默尔
Wolfgang Brinkmann (Reiter),沃尔夫冈·布林克曼
Friedrich Karl (Schwarzburg-Rudolstadt),腓特烈·卡爾·(施瓦茨堡-魯多爾施塔特)
Irm Hermann,伊尔姆·赫尔曼
Kurt Eisner,库尔特·艾斯纳
Karl III. Wilhelm (Baden-Durlach),卡尔三世·威廉·(巴登-杜拉赫)
Walter Momper,瓦尔特·蒙佩尔
Ronald Weigel,罗纳德·魏格尔
Karl August Wittfogel,魏復古
Klaus Teuber,克劳斯·托伊伯
Hermann Prey,赫曼·普莱
Ernst August von Hannover (1914–1987),漢諾威的恩斯特·奧古斯特·(1914年—1987年)
Sebastian Münster,塞巴斯蒂安·明斯特尔
Augustin Bea,奧斯定·貝亞
Arno Breker,阿尔诺·布雷克尔
Walter Gropius,瓦爾特·格羅佩斯
Wassily Kandinsky,瓦西里·康定斯基
Wolfgang Ketterle,沃爾夫岡·克特勒
Walther Bothe,瓦尔特·博特
Peter Hussing,彼得·胡辛
Marie von Brandenburg-Kulmbach,布蘭登堡-庫爾姆巴赫的瑪麗
Hermann Boehm (Admiral),赫爾曼·柏姆·(海軍上將)
Kirsten Dunst,克斯汀·鄧斯特
Heinrich Mann,亨利希·曼
Rainer Maria Rilke,莱纳·玛利亚·里尔克
Johann Pachelbel,约翰·帕赫贝尔
Lilly Reich,莉莉·赖希
Ingrid Klimke,英格丽德·克利姆克
Perkeo,海德堡的帕奇歐
Matthias Schweighöfer,马提亚斯·施维赫夫
Paul Weinstein,保罗·魏因施泰因
Axel A. Weber,魏伯昂
Paul Falk (Eiskunstläufer),保罗·法尔克
Franz Defregger (Maler),法蘭茲·德佛雷格
Elyas M’Barek,艾利亞斯·穆巴瑞克
Ferry Porsche,费迪南德·安东·恩斯特·波尔舍
Kurt Binder,库尔特·宾德尔
Karl Peglau,卡爾·佩格勞
Bernhard von Sachsen-Weimar,伯纳德·冯·萨克森-魏玛
Adolf Strauß,阿道夫·史特勞斯
Luigi Colani,路易吉·克拉尼
Hilde Gerg,希尔德·格尔格
Ernst Ludwig II. (Sachsen-Meiningen),恩斯特·路德維希二世
Hermann Esser,赫尔曼·埃瑟
Zygmunt Chychła,齐格蒙特·黑赫瓦
Karin Büttner-Janz,卡琳·比特纳-扬茨
Ria Baran,里娅·巴兰
Christoph Rothmann,克里斯托夫·罗特曼
Franz Schädle,弗朗茨·舍德勒
Luise Dorothea von Sachsen-Gotha-Altenburg,路易絲·多蘿西亞·(薩克森-邁寧根)
Nyanaponika,向智
Max Scheler,马克斯·舍勒
Helmuth Plessner,赫爾穆特·普萊斯納
Sonny Kittel,松尼·基特爾
Peter Fox,皮特·福克斯
Ernst Friedrich Schumacher,E·F·舒马赫
Johann Georg IV. (Sachsen),約翰·格奧爾格四世
Bernhard III. (Sachsen-Meiningen),伯恩哈德三世·(萨克森-迈宁根)
Angelika Bahmann,安格莉卡·巴曼
Sebastian Jung,塞巴斯蒂安·容
Theodor Meyer (Physiker),西奧多·梅耶
Elisabeth Micheler,伊丽莎白·米歇勒-琼斯
Miroslav Klose,米罗斯拉夫·克洛泽
Susi Erdmann,苏西·埃德曼
Sigismund von Preußen,普魯士的西吉斯蒙德·(1896年)
Hans Grodotzki,汉斯·格罗多茨基
Otto (V.) (Brandenburg),奧托五世·(勃蘭登堡)
Gloria Siebert,格洛丽亚·西伯特
Oskar Barnack,奥斯卡·巴纳克
Ralf Moeller,羅夫·姆勒
Walther Nehring,瓦爾特·內林
Dorothea Friederike von Brandenburg-Ansbach,多蘿西亞·弗蕾德里克·(布蘭登堡-安斯巴赫)
Adolf II. (Schaumburg-Lippe),阿道夫二世·(紹姆堡-利珀)
Eleonore Katharine von Pfalz-Zweibrücken-Kleeburg,艾蕾諾爾·凱薩琳·(普法爾茨-茨魏布呂肯-克萊堡)
Michael Ende,米夏埃尔·恩德
Nicolai Hartmann,尼古拉·哈特曼
Hans Vaihinger,漢斯·費英格
Alexander Gottlieb Baumgarten,亚历山大·戈特利布·鲍姆加登
Herwig Wolfram,赫维希·沃尔弗拉姆
Alfred Weber,阿尔弗雷德·韦伯
Karl Jaspers,卡尔·雅斯贝尔斯
Robin Knoche,羅賓·克諾赫
Claudia Kohde-Kilsch,克劳迪娅·科德-基尔施
Michael Kohlmann,米夏埃爾·科爾曼
Paul Josef Cordes,保禄·若瑟·科尔德斯
Kurt Hahn,庫爾特·哈恩
Ludwig Crüwell,路德维希·克吕韦尔
Hans Zender,汉斯·岑德
Otto Wöhler,奥托·韦勒
Sascha Klein,萨沙·克莱因
Horst Mahler,霍斯特·马勒
Stefan Heym,斯蒂芬·海姆
Sebastian Nerz,塞巴斯蒂安·内尔兹
Ewald von Lochow,埃瓦爾德·馮·洛克豪
Wilhelm Brückner,威廉·布鲁克纳
Jürgen Klopp,尤尔根·克洛普
Hans Joachim Pabst von Ohain,汉斯·冯·奥海恩
Stephan Engels,斯特凡·恩格斯
Ulrike Meinhof,乌尔丽克·迈因霍夫
Fredi Bobic,弗雷迪·博比奇
Otto Braun (Parteifunktionär),李德·(1900年)
Frank Schätzing,法蘭克·薛慶
Hermann Amandus Schwarz,赫尔曼·施瓦茨
Markus Babbel,马库斯·巴贝尔
Dietrich von Choltitz,迪特里希·冯·肖尔蒂茨
Klaus Tennstedt,克劳斯·滕施泰特
Carl Rudolf (Württemberg-Neuenstadt),卡爾·魯道夫·(符騰堡-諾因施塔特)
Josef Pieper,尤瑟夫·皮柏
Judith Arndt,尤迪特·阿恩特
Otto Kittel,奧托·基特爾
Sabine Braun,扎比内·布劳恩
Stefan Nimke,斯特凡·尼姆克
Bertha Pappenheim,贝尔莎·帕平海姆
Manfred Eigen,曼弗雷德·艾根
Kurt Alder,库尔特·阿尔德
Therese Neumann,德雷絲·紐曼
Franz Fischer (Chemiker),弗朗兹·费歇尔
Mesut Özil,梅苏特·厄齐尔
Georg Grozer junior,喬治·格羅澤
Karl Böhm,卡爾·貝姆
Nico Hülkenberg,尼可拉斯·賀根堡
Erich Kästner,埃里希·凯斯特纳
Franz Nissl,弗朗茨·尼氏
Meister Eckhart,埃克哈特大师
Susanne Lothar,苏珊娜·罗莎
Ludwig Riess (Historiker),路德维希·里斯
Petra Kelly,佩特拉·凯利
Kurt Student,庫爾特·斯圖登特
Karl Kautsky,卡爾·考茨基
"Ulrich Graf (Politiker, 1878)",乌尔赖希·格拉夫
Roland Günther,罗兰·金特
Dietmar Lorenz (Judoka),迪特马尔·洛伦茨
Ernst Klee,恩斯特·克利
Rani Khedira,蘭尼·基迪拉
Marco Pezzaiuoli,马尔科·佩扎伊沃利
Wolfgang Sawallisch,沃尔夫冈·萨瓦利希
Friedrich Hund,弗里德里希·洪德
Johannes Franz Hartmann,約翰內斯·哈特曼
Otl Aicher,奥托·艾舍
Paul Götz (Astronom),保罗·格茨
Hans Blumenberg,汉斯·布鲁门伯格
Gerd Albrecht (Dirigent),格尔德·阿尔布雷希特
Wolfgang Wilhelm von Pfalz-Neuburg,沃夫岡·威廉·(普法爾茨-諾伊堡)
Wilhelm Ludwig (Württemberg),威廉·路德維希·(符騰堡公爵)
Leopold IV. (Lippe),利奧波德四世·(利珀)
Karl Günther (Schwarzburg-Rudolstadt),卡爾·金特·(施瓦茨堡-魯多爾施塔特)
Robert Hoyzer,罗伯特·霍伊泽
Ingo Steinhöfel,英戈·施泰因赫费尔
Heinrich Cornelius Agrippa von Nettesheim,阿格里帕·冯·内特斯海姆
Hans Delbrück,漢斯·戴布流克
Eugen Dühring,欧根·卡尔·杜林
Heinrich August Winkler,海因里希·奥古斯特·温克勒
Ingo Voge,英戈·福格
Karl Loewenstein (Jurist),卡尔·罗文斯坦
Eberhard Gienger,埃伯哈德·京格
Friedrich V. (Baden-Durlach),腓特烈五世·(巴登-杜拉赫)
Jun Märkl,准·梅尔克
Emil Mazuw,埃米尔·马祖夫
Hermann Balck,赫爾曼·巴爾克
Nina Hoss,妮娜·霍斯
Christian Gentner,克里斯蒂安·根特纳
Felix Hoffmann (Chemiker),费利克斯·霍夫曼
Rudolf Dassler,魯道夫·達斯勒
Gerhard Herzberg,格哈德·赫茨贝格
Hans Fischer (Chemiker),汉斯·菲舍尔
Johann Deisenhofer,约翰·戴森霍费尔
Friedrich Bergius,弗里德里希·贝吉乌斯
Hans von Euler-Chelpin,汉斯·冯·奥伊勒-切尔平
Philipp Naruhn,菲利普·纳鲁恩
Angela Schanelec,安姬拉·夏納萊克
Stefan Pfeiffer,斯特凡·普法伊费尔
Jürgen Hehn,汉斯-于尔根·黑恩
Ernst Deutsch,厄恩斯特·多伊奇
Hanns Jana,汉斯·雅纳
Johann Ernst (Sachsen-Coburg),約翰·恩斯特·(薩克森-科堡)
Karl I. (Baden),卡爾一世·(巴登)
Hermann Graf,赫爾曼·格拉夫
Alexandra von Hannover und Cumberland,漢諾威的亞歷山德拉·(1882-1963)
"Oskar von Preußen (Herrenmeister, 1888)",普鲁士的奥斯卡
Martin Bangemann,马丁·班格曼
Franz Joseph von Battenberg,弗朗西斯·约瑟夫王子·(巴腾堡)
Karl-Wilhelm von Schlieben,卡尔·威廉·冯·施利本
Gisela Mauermayer,吉塞拉·毛厄迈尔
Otto Diels,奥托·迪尔斯
Karl Ziegler,卡尔·齐格勒
Robert Huber,罗伯特·胡贝尔
Otto Strasser,奥托·施特拉塞尔
Wilhelm Schott (Orientalist),威廉·硕特
Alfred Naujocks,阿爾弗雷德·諾約克斯
Johann Friedrich (Schwarzburg-Rudolstadt),約翰·腓特烈·(施瓦茨堡-魯多爾施塔特)
Toni Eggert,托尼·埃格特
Andreas Wank,安德烈亚斯·旺克
Johannes Rydzek,约翰内斯·里策克
Guta von Habsburg,哈布斯堡的茱蒂絲
Ludwig Lachmann,路德維希·拉赫曼
Klabund,克拉邦德
Ludwig von Hessen und bei Rhein,路德维希·(黑森-达姆施塔特)
Reinhart Koselleck,莱因哈特·科塞莱克
Johann der Beständige,约翰·(萨克森选侯)
Rolf-Dieter Amend,罗尔夫-迪特尔·阿门德
Alexandrine von Preußen (1915–1980),普魯士的亞歷山德琳·(1915-1980)
Johann III. (Sachsen-Lauenburg),約翰三世·(薩克森-勞恩堡)
Ruth Werner,乌尔苏拉·玛丽亚·库琴斯基
Frido Frey,弗里多·弗雷
Rafael Nickel,拉斐尔·尼克尔
Christine von Baden-Durlach,巴登-杜拉赫的克莉絲汀
Jana Henke,雅娜·亨克
"Ulla Schmidt (Politikerin, 1949)",乌拉·施密特
Ernst Beckmann (Chemiker),恩斯特·奥托·贝克曼
Rudolf Scharping,魯道夫·沙爾平
Erich Hückel,埃里希·休克尔
Friedrich Herzog von Württemberg,弗里德里希·(符腾堡)
Reiner Gies,赖纳·吉斯
Frank-Walter Steinmeier,弗兰克-瓦尔特·施泰因迈尔
Hermann Neuberger,赫尔曼·诺伊贝格尔
Mathias Rust,马蒂亚斯·鲁斯特
Georg Bednorz,约翰内斯·贝德诺尔茨
Ludwig Prandtl,路德维希·普朗特
Jawed Karim,賈德·卡林姆
Wolfhart Zimmermann,沃尔夫哈特·齐默尔曼
Hans-Hermann Hoppe,漢斯-赫爾曼·霍普
Fabian Hambüchen,法比安·汉布钦
Albrecht Behmel,阿尔布雷希特·贝姆
Marco Huck,马尔科·胡克
Michael Sanderling,米夏埃尔·桑德林
Carsten Keller (Hockeyspieler),卡斯滕·凯勒
Nadja Auermann,娜嘉·奧爾曼
Franz Ziehl,弗朗茨·齐尔
Oskar Minkowski,奥斯卡·闵可夫斯基
Albrecht Wolfgang (Hohenlohe-Langenburg),阿爾布雷希特·沃夫岡·(霍恩洛厄-朗根堡)
Ludwig Günther I. (Schwarzburg-Rudolstadt),路德維希·金特一世
Klaus Schwab,克劳斯·施瓦布
Matthias Ettrich,马蒂亚斯·埃特里希
Friedrich Naumann,弗里德里希·瑙曼
Max Delbrück (Biophysiker),馬克斯·德爾布呂克
Kurt Eichhorn,庫特·艾希霍恩
Jürgen Ehlers (Physiker),于尔根·埃勒斯
August Köhler (Optiker),奥古斯特·科勒
Philipp Ernst (Hohenlohe-Langenburg),菲利普·恩斯特·(霍恩洛厄-朗根堡)
Philipp Ludwig Statius Müller,菲利普·路德维希·施塔蒂乌斯·米勒
"Eberhard III. (Württemberg, Herzog)",埃伯哈德三世·(符騰堡公爵)
Gregor Schwartz-Bostunitsch,格雷戈尔·施瓦茨-博斯图尼奇
Friederike von Hannover,漢諾威的弗蕾德里克
Uwe Boll,烏維·鮑爾
Margarethe von Preußen,普魯士的瑪格麗特
Wolfhart Pannenberg,沃爾夫哈特·潘能伯格
Julian Schieber,尤利安·席貝爾
Ferdinand Tille,斐迪南·蒂勒
Georg Carl Friedrich Kunowski,格奥尔格·卡尔·弗里德里希·库诺夫斯基
Friedrich August (Württemberg-Neuenstadt),腓特烈·奧古斯特·(符騰堡-諾因施塔特)
Friedrich Anton (Schwarzburg-Rudolstadt),腓特烈·安東·(施瓦茨堡-魯多爾施塔特)
Ludwig Heinrich (Nassau-Dillenburg),路德維希·海因里希·(拿騷-迪倫堡)
Jürgen Aschoff,尤金·阿绍夫
Karl Lagerfeld,卡爾·拉格斐
Bernhard Schlink,本哈德·施林克
Anton Raphael Mengs,安东·拉斐尔·门斯
Claudia Schiffer,歌地亞·雪花
Nastassja Kinski,娜妲莎·金斯基
Karl-Heinz Hopp,卡尔-海因茨·霍普
Timo Glock,提摩·格洛克
Max Wolf,馬克斯·沃爾夫
Martin Lanig,馬丁·拉尼希
Gerhard Hetz,格哈德·黑茨
Heinz-Harald Frentzen,海因茨-哈拉尔德·弗伦岑
Ernst Jünger,恩斯特·荣格
Peter Behrens,彼得·贝伦斯
Moritz von Sachsen (1696–1750),莫里斯·德·薩克斯
André Lotterer,安德烈·洛特尔
Armin Veh,阿明·费
Rudolf Schmidt (General),鲁道夫·施密特·(将军)
Otto Kumm,奥托·库姆
Jürgen Hingsen,于尔根·兴森
Albrecht IV. (Sachsen-Lauenburg),阿爾布雷希特四世·(薩克森-勞恩堡)
Margarete von Bayern (1456–1501),巴伐利亞的瑪格麗特·(1456-1501)
Steffen Driesen,斯特芬·德里森
Karl von Graffen,卡爾·馮·格拉芬
Philipp Ludwig I. (Hanau-Münzenberg),菲利普·路德維希一世
Bruno Taut,布魯諾·陶特
Christophorus Clavius,克里斯托佛·克拉乌
Thomas Demand,托馬斯·德曼
Adam Schall von Bell,汤若望
Erich Mendelsohn,埃里希·门德尔松
Karl Richter (Musiker),卡尔·李希特
Thomas Ulrich (Boxer),托马斯·乌尔里希
Kerstin Kowalski,克斯廷·科瓦尔斯基
Harry Boldt,哈里·博尔特
Erich Rudorffer,埃里希·鲁道弗
Oskar-Heinrich Bär,亨里希·巴爾
Conrad Böcker,康拉德·伯克尔
Paul Mattick,保罗·马蒂克
Eugen Goldstein,欧根·戈尔德斯坦
Alfried Krupp von Bohlen und Halbach,阿尔弗里德·克虏伯
Ernst Friedrich (Sachsen-Coburg-Saalfeld),恩斯特·腓特烈·(薩克森-科堡-薩爾費爾德)
Philipp Boy,菲利普·博伊
Heinrich II. (Braunschweig-Wolfenbüttel),海因里希二世·(布倫瑞克-沃爾芬比特爾)
Petra Dallmann,彼得拉·达尔曼
Tim Borowski,蒂姆·博罗夫斯基
Adolf Dassler,阿道夫·达斯勒
Hagen Kleinert,哈根·克莱纳特
Edith Stein,埃迪特·施泰因
Karl Haushofer,卡爾·豪斯霍弗爾
Peter Fechter,彼得·费希特尔之死
Rainer Schüttler,萊納·舒特勒
Theodor Lessing,特奥多尔·莱辛
C. C. Catch,C.·C.·Catch
Harald zur Hausen,哈拉尔德·楚尔·豪森
Klaus Bittner (Ruderer),克劳斯·比特纳
Werner Schroer,沃纳·施罗尔
Daniel Cohn-Bendit,丹尼爾·孔-本迪
Gottfried Böhm,哥特佛萊德·伯姆
Karl Mannheim,卡爾·曼海姆
Max Horkheimer,麥克斯·霍克海默
Andreas Wels,安德烈亚斯·韦尔斯
Nicolas Kiefer,尼古拉斯·基弗
Maximilian Arndt,马克西米利安·阿恩特
Christopher Kas,克里斯多夫·卡斯
Erich Pommer,艾里奇·鮑默
Richard Ruoff,理查德·鲁奥夫
Fridolin von Senger und Etterlin,弗里多林·魯道夫·特奧多爾·馮·森格爾·埃特林
Alina Astafei,阿林娜·阿斯塔费伊
Friedrich II. (Sachsen-Gotha-Altenburg),腓特烈二世·(薩克森-哥達-阿爾滕堡)
Maria Anna von Bayern (1734–1776),巴伐利亞的瑪麗亞·安娜·(1734-1776)
Gerd Binnig,格尔德·宾宁
Wolfgang Altenburg,沃尔夫冈·阿尔滕堡
Anna Dorothea von Sachsen-Weimar,安娜·多蘿西亞·(薩克森-威瑪)
Gerhard Heer,格哈德·黑尔
Günter Mittag,君特·米塔格
Beno Gutenberg,賓諾·古登堡
Friedrich Kellner,弗里德里希·克尔纳
Christoph Waltz,克里斯托弗·瓦尔兹
Otto Adam (Fechter),奥托·亚当
Peter Nocke,彼得·诺克
Ludwig der Strenge,路德维希二世·(上巴伐利亚)
Ludwig V. (Bayern),路易五世·(巴伐利亞)
Johannes Steinhoff,約翰內斯·施坦因霍夫
Johann Albrecht (Mecklenburg),约翰·阿尔布雷希特·(梅克伦堡-什未林)
Anna Maria von der Pfalz,普法爾茨的安娜·瑪麗亞
Claudia Losch,克劳迪娅·洛施
Hans Tietmeyer,汉斯·蒂特迈尔
Manfred Kurzer,曼弗雷德·库尔策
Heiko Schwartz,海科·施瓦茨
Eberhard I. von der Mark,埃伯哈德一世·(馬克)
Joseph Weizenbaum,约瑟夫·维森鲍姆
Marcel Nguyen,马塞尔·阮
Mohamed Zidan,模罕默德·施丹
Franz Boas,法蘭茲·鮑亞士
Andreas Baader,安德烈亚斯·巴德尔
Baldur von Schirach,巴爾杜爾·馮·席拉赫
Johann Tetzel,若望·特次勒
Bernd Kannenberg,贝恩德·坎嫩贝格
Jürgen Mayer (Architekt),于爾根·邁爾
Hans Hut,漢斯·胡特
Ludwig X. (Bayern),路易十世·(巴伐利亞)
Kurt Tank,库尔特·谭克
Karl Löwith,卡爾·洛維特
Josef Fischer (Radsportler),約瑟夫·費舍爾
Ilke Wyludda,伊尔克·维卢达
Eugen Ott (Generalmajor),尤金·奥特
Nick Heidfeld,尼克·海费尔德
Karl Arnold (Politiker),卡尔·阿诺德
Norbert Elias,諾博特·伊里亞思
Wilhelm Wundt,威廉·冯特
Wilhelm Frick,威廉·弗里克
Nuri Şahin,紐尼·沙軒
Karl Liebknecht,卡尔·李卜克内西
Karl Emil von Brandenburg,布蘭登堡的卡爾·埃米爾
Dieter Bohlen,迪特·金特·波伦
Eduard Meyer,爱德华·迈尔
Rudolf Heß,鲁道夫·赫斯
Henning von Holtzendorff,亨寧·馮·霍爾岑多夫
Albrecht II. (Braunschweig-Wolfenbüttel-Göttingen),阿爾布雷希特二世·(布倫瑞克)
August von Mackensen,奥古斯特·冯·马肯森
Ludwig Rudolf (Braunschweig-Wolfenbüttel),路德維希·魯道夫·(不倫瑞克-沃爾芬比特爾)
Albrecht II. (Meißen),阿爾布雷希特二世·(邁森)
Heinrich XV. (Bayern),亨利十五世
August Sander,奥古斯特·桑德
Franz Maria Luitpold von Bayern,法蘭茲王子·(巴伐利亞)
Ludwig Guttmann,路德維希·古特曼
Clara Zetkin,克拉拉·蔡特金
