stefano cerioni,스테파노 체리오니,seutepano cerioni
alfredo campoli,알프레도 캄폴리,alpeuredo kampolri
nicola murru,니콜라 무루,nikolra muru
alessandro de vitis,알레산드로 데 비티스,alresandeuro de bitiseu
andrea belotti,안드레아 벨로티,andeurea belroti
francesco illy,프란체스코 일리,peuranceseuko ilri
steve bastoni,스티브 바스토니,seutibeu baseutoni
rodrigo de paul,로드리고 데 폴,rodeurigo de pol
vittorio amandola,비토리오 아만돌라,bitorio amandolra
william edmunds,윌리엄 에드먼즈,wilrieom edeumeonjeu
pinocchio,피노키오,pinokio
gianluca lapadula,잔루카 라파둘라,janruka rapadulra
leonardo spinazzola,레오나르도 스피나촐라,reonareudo seupinacolra
sara pichelli,사라 피켈리,sara pikelri
emanuele padella,에마누엘레 파델라,emanuelre padelra
bruno martella,브루노 마르텔라,beuruno mareutelra
simone corazza,시모네 코라차,simone koraca
marco sportiello,마르코 스포르티엘로,mareuko seuporeutielro
maria elena boschi,마리아 엘레나 보스키,maria elrena boseuki
marcello trotta,마르첼로 트로타,mareucelro teurota
luca martinelli,루카 마르티넬리,ruka mareutinelri
dylan sprouse,딜런 스프라우스,dilreon seupeurauseu
leonardo capezzi,레오나르도 카페치,reonareudo kapeci
matteo bianchetti,마테오 비안케티,mateo bianketi
matteo politano,마테오 폴리타노,mateo polritano
chiara ferragni,키아라 페라니,kiara perani
cécile kyenge,세실 키엥게,sesil kiengge
federico bernardeschi,페데리코 베르나르데스키,pederiko bereunareudeseuki
manuel pucciarelli,마누엘 푸차렐리,manuel pucarelri
danilo cataldi,다닐로 카탈디,danilro kataldi
bartolomeo pepe,바르톨로메오 페페,bareutolromeo pepe
achraf lazaar,아쉬라프 라자르,aswirapeu rajareu
lorenzo rosseti,발레리오 로세티,balrerio roseti
roberto gagliardini,로베르토 갈리아르디니,robereuto galriareudini
diego laxalt,디에고 락살트,diego ragsalteu
tea falco,테아 팔코,tea palko
aldo gucci,알도 구찌,aldo gujji
erika stefani,에리카 스테파니,erika seutepani
alfred gomis,알프레드 고미스,alpeuredeu gomiseu
alessio cragno,알레시오 크라뇨,alresio keuranyo
cristiana girelli,크리스티아나 지렐리,keuriseutiana jirelri
luigi di maio,루이지 디 마이오,ruiji di maio
giorgian de arrascaeta,히오르히안 데 아라스카에타,hioreuhian de araseukaeta
francesco fedato,프란체스코 페다토,peuranceseuko pedato
leonardo pavoletti,레오나르도 파볼레티,reonareudo pabolreti
alberto cerri,알베르토 체리,albereuto ceri
daniela stracchi,다니엘라 스트라키,danielra seuteuraki
oriana sabatini,오리아나 사바티니,oriana sabatini
simone scuffet,시모네 스쿠페트,simone seukupeteu
carina vitulano,카리나 비툴라노,karina bitulrano
luca crecco,루카 크레코,ruka keureko
josé mauri,호세 마우리,hose mauri
giovanni di lorenzo,조반니 디 로렌초,jobanni di rorenco
luca bittante,루카 비탄테,ruka bitante
pier carlo padoan,피에르 카를로 파도안,piereu kareulro padoan
federico ricci,페데리코 리치,pederiko rici
elena radonicich,엘레나 라도니치츠,elrena radoniciceu
daniele rugani,다니엘레 루가니,danielre rugani
valentina nappi,발렌티나 나피,balrentina napi
stefano sturaro,스테파노 스투라로,seutepano seuturaro
salvatore garau,살바토레 가라우,salbatore garau
armando izzo,아르만도 이초,areumando ico
carlo tavecchio,카를로 타베키오,kareulro tabekio
salvatore cuomo,살바토레 쿠오모,salbatore kuomo
alberto cirio,알베르토 치리오,albereuto cirio
lidia vitale,리디아 비테일,ridia biteil
cristina scuccia,크리스티나 스쿠차,keuriseutina seukuca
mattia caldara,마티아 칼다라,matia kaldara
margherita vicario,마르게리타 비카리오,mareugerita bikario
matilda lutz,마틸다 루츠,matilda ruceu
sara serraiocco,사라 세라이오코,sara seraioko
emil audero,에밀 아우데로,emil audero
milena bertolini,밀레나 베르톨리니,milrena bereutolrini
elena linari,엘레나 리나리,elrena rinari
maurizio malvestiti,마우리치오 말베스티티,mauricio malbeseutiti
simona tabasco,시모나 타바스코,simona tabaseuko
luca lezzerini,루카 레체리니,ruka recerini
matilde gioli,마틸데 졸리,matilde jolri
daniele garozzo,다니엘레 가로초,danielre garoco
luca rizzo,루카 리초,ruka rico
saidy janko,사이디 양코,saidi yangko
rolando mandragora,롤란도 만드라고라,rolrando mandeuragora
maria pia calzone,마리아 피아 칼초네,maria pia kalcone
pierluigi gollini,피에를루이지 골리니,piereulruiji golrini
lorenzo pellegrini,로렌초 펠레그리니,rorenco pelregeurini
nicolò barella,니콜로 바렐라,nikolro barelra
alessia cara,알레시아 카라,alresia kara
davide calabria,다비데 칼라브리아,dabide kalrabeuria
giacomo gianniotti,자코모 잔니오티,jakomo jannioti
ivan provedel,이반 프로베델,iban peurobedel
irma testa,이르마 테스타,ireuma teseuta
alice volpi,알리체 볼피,alrice bolpi
mariarosa dalla costa,마리아로사 델라 코스타,mariarosa delra koseuta
enrica maria modugno,엔리카 마리아 모두그노,enrika maria modugeuno
gianluca scamacca,잔루카 스카마카,janruka seukamaka
federico dimarco,페데리코 디마르코,pederiko dimareuko
vittoria ceretti,비토리아 세레티,bitoria sereti
alessandro michele,알레산드로 미켈레,alresandeuro mikelre
mattia gaspari,마티아 가스파리,matia gaseupari
pietro boselli,피에트로 보셀리,pieteuro boselri
nicolò fazzi,니콜로 파치,nikolro paci
dado coletti,다도 콜레티,dado kolreti
carlo bazzi,카를로 바치,kareulro baci
aisling franciosi,애쉴링 프란초지,aeswilring peurancoji
alex meret,알렉스 메레트,alregseu mereteu
matteo pessina,마테오 페시나,mateo pesina
giovani lo celso,조바니 로 셀소,jobani ro selso
francesco gabbani,프란체스코 가바니,peuranceseuko gabani
odette giuffrida,오데테 주프리다,odete jupeurida
paola egonu,파올라 에고누,paolra egonu
alessandro borghi,알레산드로 보르기,alresandeuro boreugi
ilenia pastorelli,일레니아 파스토렐리,ilrenia paseutorelri
gianluigi donnarumma,잔루이지 돈나룸마,janruiji donnarumma
massimo stano,마시모 스타노,masimo seutano
abraham conyedo,아브라암 코니에도,abeuraam koniedo
mariano di vaio,마리아노 디 바이오,mariano di baio
andrea conti,안드레아 콘티,andeurea konti
mariana di girolamo,마리아나 디 지롤라모,mariana di jirolramo
elettra lamborghini,엘레트라 람보르기니,elreteura ramboreugini
andrea santarelli,안드레아 산타렐리,andeurea santarelri
salvatore farina,살바토레 파리나,salbatore parina
manuel locatelli,마누엘 로카텔리,manuel rokatelri
fabio basile,파비오 바실레,pabio basilre
agustín rogel,아구스틴 로헬,aguseutin rohel
virginia raggi,비르지니아 라지,bireujinia raji
pietro pellegri,피에트로 펠레그리,pieteuro pelregeuri
patrick cutrone,파트리크 쿠트로네,pateurikeu kuteurone
matilda de angelis,마틸다 데 안젤리스,matilda de anjelriseu
marcell jacobs,마르셀 자콥스,mareusel jakobseu
domenico tedesco,도메니코 테데스코,domeniko tedeseuko
davide ghiotto,다비데 기오토,dabide gioto
stefano massini,스테파노 마시니,seutepano masini
lucilla boari,루칠라 보아리,rucilra boari
alessandro bastoni,알레산드로 바스토니,alresandeuro baseutoni
moise kean,모이스 켄,moiseu ken
riccardo orsolini,리카르도 오르솔리니,rikareudo oreusolrini
gianluca mancini,잔루카 만치니,janruka mancini
nicolò zaniolo,니콜로 차니올로,nikolro caniolro
mattia zaccagni,마티아 자카니,matia jakani
andrea pinamonti,안드레아 피나몬티,andeurea pinamonti
gabriele rossetti,가브리엘레 로세티,gabeurielre roseti
manuel lazzari,마누엘 라차리,manuel racari
federico baschirotto,페데리코 바스키로토,pederiko baseukiroto
sveva alviti,스베바 알비티,seubeba albiti
matteo gabbia,마테오 가비아,mateo gabia
federico chiesa,페데리코 키에사,pederiko kiesa
gualtiero galmanini,구알티에로 갈마니니,gualtiero galmanini
pasquale mazzocchi,파스콸레 마초키,paseukwalre macoki
nicolò casale,니콜로 카살레,nikolro kasalre
kára mccullough,카라 매컬로,kara maekeolro
vito dell'aquila,비토 델라퀼라,bito delrakwilra
guglielmo vicario,굴리엘모 비카리오,gulrielmo bikario
mateo retegui,마테오 레테기,mateo retegi
sandro tonali,산드로 토날리,sandeuro tonalri
leonardo balerdi,레오나르도 발레르디,reonareudo balrereudi
santiago giménez,산티아고 히메네스,santiago himeneseu
patrizia barbieri,파트리치아 바르비에리,pateuricia bareubieri
giulia guerrini,줄리아 게리니,julria gerini
giuseppe conte,주세페 콘테,jusepe konte
gaetano castrovilli,가에타노 카스트로빌리,gaetano kaseuteurobilri
alessandro buongiorno,알레산드로 부온조르노,alresandeuro buonjoreuno
tommaso pobega,톰마소 포베가,tommaso pobega
nicolò fagioli,니콜로 파지올리,nikolro pajiolri
luca pellegrini,루카 펠레그리니,ruka pelregeurini
hans nicolussi caviglia,한스 니콜루시 카빌리아,hanseu nikolrusi kabilria
federico cesari,페데리코 체사리,pederiko cesari
benedetta porcaroli,베네데타 포르카롤리,benedeta poreukarolri
raoul bellanova,라울 벨라노바,raul belranoba
antonino gallo,안토니노 갈로,antonino galro
ludovico tersigni,루도비코 테르시니,rudobiko tereusini
lucas beltrán,루카스 벨트란,rukaseu belteuran
giacomo raspadori,자코모 라스파도리,jakomo raseupadori
stefano turati,스테파노 투라티,seutepano turati
mahmood,마무드,mamudeu
lorenzo colombo,로렌초 콜롬보,rorenco kolrombo
maria centracchio,마리아 첸트라키오,maria centeurakio
federica isola,페데리카 이솔라,pederika isolra
marco carnesecchi,마르코 카르네세키,mareuko kareuneseki
luca moro,루카 모로,ruka moro
simone alessio,시모네 알레시오,simone alresio
andrea colpani,안드레아 콜파니,andeurea kolpani
nicolò rovella,니콜로 로벨라,nikolro robelra
andrea cambiaso,안드레아 캄비아소,andeurea kambiaso
destiny udogie,데스티니 우도기,deseutini udogi
michele morrone,미켈레 모로네,mikelre morone
daniel maldini,다니엘 말디니,daniel maldini
matteo ruggeri,마테오 루게리,mateo rugeri
fabrizio romano,파브리치오 로마노,pabeuricio romano
amedeo bagnis,아메데오 바니스,amedeo baniseu
khaby lame,카비 라메,kabi rame
chiara rebagliati,키아라 레발리아티,kiara rebalriati
riccardo calafiori,리카르도 칼라피오리,rikareudo kalrapiori
wilfried gnonto,윌프리드 뇬토,wilpeurideu nyonto
tommaso baldanzi,톰마소 발단치,tommaso baldanci
federico gatti,페데리코 가티,pederiko gati
cher ndour,셰르 은두르,syereu eundureu
mattia viti,마티아 비티,matia biti
fabio miretti,파비오 미레티,pabio mireti
lorenzo lucca,로렌초 루카,rorenco ruka
giorgio scalvini,조르조 스칼비니,joreujo seukalbini
filippo terracciano,필리포 테라치아노,pilripo teraciano
tommaso marini,톰마소 마리니,tommaso marini
ibrahima bamba,이브라히마 밤바,ibeurahima bamba
cesare casadei,체사레 카사데이,cesare kasadei
virginia stablum,버지니아 스태블럼,beojinia seutaebeulreom
alessandra mele,알레산드라 멜레,alresandeura melre
michael kayode,마이클 카요데,maikeul kayode
italia,이탈리아,italria
modena,모데나,modena
trieste,트리에스테,teurieseute
canegrate,카네그라테,kanegeurate
montelapiano,몬텔라피아노,montelrapiano
milano,밀라노,milrano
pietraferrazzana,피에트라페라차나,pieteuraperacana
fallo,팔로,palro
torino,토리노,torino
bari,바리,bari
monteferrante,몬테페란테,monteperante
biella,비엘라,bielra
roma,로마,roma
orvieto,오르비에토,oreubieto
potenza,포텐차,potenca
padova,파도바,padoba
bergamo,베르가모,bereugamo
verbania,베르바니아,bereubania
catanzaro,카탄차로,katancaro
venezia,베네치아,benecia
salerno,살레르노,salrereuno
ovada,오바다,obada
euro,유로,yuro
crosa,크로사,keurosa
cuneo,쿠네오,kuneo
vercelli,베르첼리,bereucelri
allerona,알레로나,alrerona
asti,아스티,aseuti
sale,살레,salre
carmignano,카르미냐노,kareuminyano
cascia,카시아,kasia
revello,레벨로,rebelro
cantagallo,칸타갈로,kantagalro
cannara,칸나라,kannara
montemurlo,몬테무를로,montemureulro
vaiano,바이아노,baiano
alpi pennine,페나인 알프스,penain alpeuseu
alviano,알비아노,albiano
treviso,트레비소,teurebiso
alessandria,알레산드리아,alresandeuria
novara,노바라,nobara
acquasparta,아콰스파르타,akwaseupareuta
brescia,브레시아,beuresia
cremona,크레모나,keuremona
vernio,베르니오,bereunio
lodi,로디,rodi
amelia,아멜리아,amelria
lecco,레코,reko
pray,프라이,peurai
citerna,치테르나,citereuna
mantova,만토바,mantoba
monza,몬차,monca
pavia,파비아,pabia
collazzone,콜라초네,kolracone
attigliano,아틸리아노,atilriano
corciano,코르차노,koreucano
sondrio,손드리오,sondeurio
costacciaro,코스타차로,koseutacaro
varese,바레세,barese
arrone,아로네,arone
alpi lepontine,레폰틴 알프스,repontin alpeuseu
baschi,바스키,baseuki
appennini,아펜니노산맥,apenninosanmaeg
foligno,폴리뇨,polrinyo
alpi,알프스산맥,alpeuseusanmaeg
valdengo,발덴고,baldengo
dolomiti,돌로미티산맥,dolromitisanmaeg
deruta,데루타,deruta
bolzano,볼차노,bolcano
como,코모,komo
vicenza,비첸차,bicenca
rovigo,로비고,robigo
gubbio,구비오,gubio
gorizia,고리치아,goricia
castelmagno,카스텔마뇨,kaseutelmanyo
magione,마조네,majone
marsciano,마르시아노,mareusiano
pordenone,포르데노네,poreudenone
brescia calcio,브레시아 칼초,beuresia kalco
belluno,벨루노,belruno
genova,제노바,jenoba
montefalco,몬테팔코,montepalko
montone,몬토네,montone
alba,알바,alba
cesena,체세나,cesena
crotone,크로토네,keurotone
sicilia,시칠리아,sicilria
barolo,바롤로,barolro
panicale,파니칼레,panikalre
norcia,노르차,noreuca
paciano,파차노,pacano
sardegna,사르데냐,sareudenya
empoli,엠폴리,empolri
grosseto,그로세토,geuroseto
bra,브라,beura
bologna,볼로냐,bolronya
piegaro,피에가로,piegaro
acqua alta,아쿠아 알타,akua alta
verona,베로나,berona
calcio padova,칼초 파도바,kalco padoba
alatri,알라트리,alrateuri
cagliari calcio,칼리아리 칼초,kalriari kalco
cagliari,칼리아리,kalriari
pietralunga,피에트랄룬가,pieteuralrunga
poggiodomo,포조도모,pojodomo
preci,프레치,peureci
tarvisio,타르비시오,tareubisio
aeroporto di romafiumicino,로마 피우미치노 공항,roma piumicino gonghang
caserta,카세르타,kasereuta
catania,카타니아,katania
vaporetto,바포레토,baporeto
livorno,리보르노,riboreuno
vicenza calcio,비첸차 칼초,bicenca kalco
lanciano,란차노,rancano
sigillo,시질로,sijilro
terni,테르니,tereuni
spezia calcio,스페치아 칼초,seupecia kalco
firenze,피렌체,pirence
varese calcio,바레세 칼초,barese kalco
